# ----------------------------------------
# runninglife-fcm
# 주차별 리텐션 분석-동질 집단 탐색 분석 1
# 20260419-20260531
# ----------------------------------------

주간 사용자 집단,사용자 집단,사용자 집단 총 사용자,활성 사용자,활성 사용자 / 사용자 집단 총 사용자
0000,20260531-20260531,RESERVED_TOTAL,744,744,1
0000,20260531-20260531,date_range_0,744,744,1
0000,20260524-20260530,RESERVED_TOTAL,3907,3907,1
0000,20260524-20260530,date_range_0,3907,3907,1
0000,20260517-20260523,RESERVED_TOTAL,4100,4092,0.9980487804878049
0000,20260517-20260523,date_range_0,4100,4092,0.9980487804878049
0000,20260510-20260516,RESERVED_TOTAL,4315,4311,0.9990730011587485
0000,20260510-20260516,date_range_0,4315,4311,0.9990730011587485
0000,20260426-20260502,RESERVED_TOTAL,4398,4379,0.9956798544793087
0000,20260426-20260502,date_range_0,4398,4379,0.9956798544793087
0000,20260419-20260425,RESERVED_TOTAL,5146,5128,0.9965021375825884
0000,20260419-20260425,date_range_0,5146,5128,0.9965021375825884
0000,20260503-20260509,RESERVED_TOTAL,5577,5561,0.997131074054151
0000,20260503-20260509,date_range_0,5577,5561,0.997131074054151
0000,RESERVED_TOTAL,RESERVED_TOTAL,28187,28041,0.9948203072338312
0000,RESERVED_TOTAL,date_range_0,28187,28041,0.9948203072338312
0001,20260531-20260531,RESERVED_TOTAL,744,9,0.012096774193548387
0001,20260531-20260531,date_range_0,744,9,0.012096774193548387
0001,20260524-20260530,RESERVED_TOTAL,3907,269,0.06885078065011518
0001,20260524-20260530,date_range_0,3907,269,0.06885078065011518
0001,20260517-20260523,RESERVED_TOTAL,4100,742,0.18097560975609756
0001,20260517-20260523,date_range_0,4100,742,0.18097560975609756
0001,20260510-20260516,RESERVED_TOTAL,4315,629,0.14577056778679026
0001,20260510-20260516,date_range_0,4315,629,0.14577056778679026
0001,20260426-20260502,RESERVED_TOTAL,4398,981,0.22305593451568895
0001,20260426-20260502,date_range_0,4398,981,0.22305593451568895
0001,20260419-20260425,RESERVED_TOTAL,5146,1380,0.2681694520015546
0001,20260419-20260425,date_range_0,5146,1380,0.2681694520015546
0001,20260503-20260509,RESERVED_TOTAL,5577,879,0.15761161915008068
0001,20260503-20260509,date_range_0,5577,879,0.15761161915008068
0001,RESERVED_TOTAL,RESERVED_TOTAL,28187,4887,0.1733777982758009
0001,RESERVED_TOTAL,date_range_0,28187,4887,0.1733777982758009
0002,20260517-20260523,RESERVED_TOTAL,4100,214,0.05219512195121951
0002,20260517-20260523,date_range_0,4100,214,0.05219512195121951
0002,20260510-20260516,RESERVED_TOTAL,4315,410,0.09501738122827347
0002,20260510-20260516,date_range_0,4315,410,0.09501738122827347
0002,20260426-20260502,RESERVED_TOTAL,4398,715,0.16257389722601182
0002,20260426-20260502,date_range_0,4398,715,0.16257389722601182
0002,20260419-20260425,RESERVED_TOTAL,5146,996,0.1935483870967742
0002,20260419-20260425,date_range_0,5146,996,0.1935483870967742
0002,20260503-20260509,RESERVED_TOTAL,5577,608,0.10901918594226287
0002,20260503-20260509,date_range_0,5577,608,0.10901918594226287
0002,RESERVED_TOTAL,RESERVED_TOTAL,23536,2942,0.125
0002,RESERVED_TOTAL,date_range_0,23536,2942,0.125
0003,20260510-20260516,RESERVED_TOTAL,4315,94,0.02178447276940904
0003,20260510-20260516,date_range_0,4315,94,0.02178447276940904
0003,20260426-20260502,RESERVED_TOTAL,4398,582,0.13233287858117326
0003,20260426-20260502,date_range_0,4398,582,0.13233287858117326
0003,20260419-20260425,RESERVED_TOTAL,5146,916,0.17800233190827827
0003,20260419-20260425,date_range_0,5146,916,0.17800233190827827
0003,20260503-20260509,RESERVED_TOTAL,5577,541,0.09700555854402008
0003,20260503-20260509,date_range_0,5577,541,0.09700555854402008
0003,RESERVED_TOTAL,RESERVED_TOTAL,19436,2132,0.10969335254167524
0003,RESERVED_TOTAL,date_range_0,19436,2132,0.10969335254167524
0004,20260426-20260502,RESERVED_TOTAL,4398,508,0.11550704865848113
0004,20260426-20260502,date_range_0,4398,508,0.11550704865848113
0004,20260419-20260425,RESERVED_TOTAL,5146,793,0.1541002720559658
0004,20260419-20260425,date_range_0,5146,793,0.1541002720559658
0004,20260503-20260509,RESERVED_TOTAL,5577,126,0.022592791823561054
0004,20260503-20260509,date_range_0,5577,126,0.022592791823561054
0004,RESERVED_TOTAL,RESERVED_TOTAL,15121,1427,0.09437206533959394
0004,RESERVED_TOTAL,date_range_0,15121,1427,0.09437206533959394
0005,20260426-20260502,RESERVED_TOTAL,4398,130,0.02955889040472942
0005,20260426-20260502,date_range_0,4398,130,0.02955889040472942
0005,20260419-20260425,RESERVED_TOTAL,5146,724,0.14069179945588806
0005,20260419-20260425,date_range_0,5146,724,0.14069179945588806
0005,RESERVED_TOTAL,RESERVED_TOTAL,9544,854,0.08948030176026824
0005,RESERVED_TOTAL,date_range_0,9544,854,0.08948030176026824
0006,20260419-20260425,RESERVED_TOTAL,5146,200,0.0388651379712398
0006,20260419-20260425,date_range_0,5146,200,0.0388651379712398
0006,RESERVED_TOTAL,RESERVED_TOTAL,5146,200,0.0388651379712398
0006,RESERVED_TOTAL,date_range_0,5146,200,0.0388651379712398
0000,20260419-20260425,5146,5128,0.9965021375825884
0000,20260426-20260502,4398,4379,0.9956798544793087
0000,20260503-20260509,5577,5561,0.997131074054151
0000,20260510-20260516,4315,4311,0.9990730011587485
0000,20260517-20260523,4100,4092,0.9980487804878049
0000,20260524-20260530,3907,3907,1
0000,20260531-20260531,744,744,1
0001,20260419-20260425,5146,1380,0.2681694520015546
0001,20260426-20260502,4398,981,0.22305593451568895
0001,20260503-20260509,5577,879,0.15761161915008068
0001,20260510-20260516,4315,629,0.14577056778679026
0001,20260517-20260523,4100,742,0.18097560975609756
0001,20260524-20260530,3907,269,0.06885078065011518
0001,20260531-20260531,744,9,0.012096774193548387
0002,20260419-20260425,5146,996,0.1935483870967742
0002,20260426-20260502,4398,715,0.16257389722601182
0002,20260503-20260509,5577,608,0.10901918594226287
0002,20260510-20260516,4315,410,0.09501738122827347
0002,20260517-20260523,4100,214,0.05219512195121951
0003,20260419-20260425,5146,916,0.17800233190827827
0003,20260426-20260502,4398,582,0.13233287858117326
0003,20260503-20260509,5577,541,0.09700555854402008
0003,20260510-20260516,4315,94,0.02178447276940904
0004,20260419-20260425,5146,793,0.1541002720559658
0004,20260426-20260502,4398,508,0.11550704865848113
0004,20260503-20260509,5577,126,0.022592791823561054
0005,20260419-20260425,5146,724,0.14069179945588806
0005,20260426-20260502,4398,130,0.02955889040472942
0006,20260419-20260425,5146,200,0.0388651379712398

