날짜,"사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 대한민국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 미국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 아르헨티나","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 인도",참고사항
2025년 6월 1일,46,45,0,0,0,
2025년 6월 2일,66,66,0,0,0,
2025년 6월 3일,70,70,0,0,0,
2025년 6월 4일,49,49,0,0,0,
2025년 6월 5일,51,51,0,0,0,
2025년 6월 6일,58,58,0,0,0,
2025년 6월 7일,75,74,0,0,0,
2025년 6월 8일,85,85,0,0,0,
2025년 6월 9일,64,64,0,0,0,
2025년 6월 10일,80,80,0,0,0,
2025년 6월 11일,65,65,0,0,0,
2025년 6월 12일,81,81,0,0,0,
2025년 6월 13일,55,55,0,0,0,
2025년 6월 14일,79,77,0,0,0,
2025년 6월 15일,94,94,0,0,0,
2025년 6월 16일,57,57,0,0,0,
2025년 6월 17일,88,88,0,0,0,
2025년 6월 18일,72,72,0,0,0,
2025년 6월 19일,84,84,0,0,0,
2025년 6월 20일,65,64,0,0,0,
2025년 6월 21일,71,71,0,0,0,
2025년 6월 22일,68,68,0,0,0,
2025년 6월 23일,71,71,0,0,0,
2025년 6월 24일,76,76,0,0,0,
2025년 6월 25일,65,65,0,0,0,
2025년 6월 26일,72,72,0,0,0,
2025년 6월 27일,44,44,0,0,0,
2025년 6월 28일,84,84,0,0,0,
2025년 6월 29일,54,54,0,0,0,
2025년 6월 30일,58,58,0,0,0,
2025년 7월 1일,53,53,0,0,0,
2025년 7월 2일,41,41,0,0,0,
2025년 7월 3일,36,36,0,0,0,
2025년 7월 4일,30,30,0,0,0,
2025년 7월 5일,38,38,0,0,0,
2025년 7월 6일,30,30,0,0,0,
2025년 7월 7일,30,30,0,0,0,
2025년 7월 8일,40,40,0,0,0,
2025년 7월 9일,48,47,1,0,0,
2025년 7월 10일,56,56,0,0,0,
2025년 7월 11일,46,46,0,0,0,
2025년 7월 12일,66,65,0,0,0,
2025년 7월 13일,42,42,0,0,0,
2025년 7월 14일,24,24,0,0,0,
2025년 7월 15일,36,36,0,0,0,
2025년 7월 16일,39,39,0,0,0,
2025년 7월 17일,26,26,0,0,0,
2025년 7월 18일,37,37,0,0,0,
2025년 7월 19일,36,36,0,0,0,
2025년 7월 20일,59,59,0,0,0,
2025년 7월 21일,27,26,0,0,0,
2025년 7월 22일,36,36,0,0,0,
2025년 7월 23일,26,26,0,0,0,
2025년 7월 24일,39,39,0,0,0,
2025년 7월 25일,39,39,0,0,0,
2025년 7월 26일,54,54,0,0,0,
2025년 7월 27일,51,51,0,0,0,
2025년 7월 28일,46,46,0,0,0,
2025년 7월 29일,42,42,0,0,0,
2025년 7월 30일,21,21,0,0,0,
2025년 7월 31일,32,32,0,0,0,
2025년 8월 1일,23,23,0,0,0,
2025년 8월 2일,28,28,0,0,0,
2025년 8월 3일,43,42,0,0,0,
2025년 8월 4일,31,31,0,0,0,
2025년 8월 5일,41,41,0,0,0,
2025년 8월 6일,66,66,0,0,0,
2025년 8월 7일,53,53,0,0,0,
2025년 8월 8일,28,28,0,0,0,
2025년 8월 9일,41,41,0,0,0,
